Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
0806D,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 4,2016,-pending-,-pending-
0806E,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 5,2016,-pending-,-pending-
0806F,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 6,2016,-pending-,-pending-
0806G,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 7,2016,-pending-,-pending-
0806H,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 8,2016,-pending-,-pending-
0806J,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 9,2016,-pending-,-pending-
0806K,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 10,2016,-pending-,-pending-
807,,EQUINE SPORTS RESEARCH TREADMILL,2019,-pending-,-pending-
0830A,,USDAHYD ENGR RSCH UNIT - ARS 1 - CARPENTRY SHOP,1941,-pending-,-pending-
0830B,,USDAHYD ENGR RSCH UNIT - ARS 2 - EAST SHOP,1941,-pending-,-pending-
0830C,,USDAHYD ENGR RSCH UNIT - ARS 3 - WOOD SHED,1941,-pending-,-pending-
0830D,,USDAHYD ENGR RSCH UNIT - ARS 4 - QUONSET,1941,-pending-,-pending-
0830E,,USDAHYD ENGR RSCH UNIT - ARS 5 - STORAGE BLDG,1941,-pending-,-pending-
,,USDAHYD ENGR RSCH UNIT - ARS 6 - 22 FT MODEL,,,
0830F,,,1941,-pending-,-pending-
,,BLDG,,,
0830G,,USDAHYD ENGR RSCH UNIT - ARS 8 - GATE HOUSE,1941,-pending-,-pending-
0830H,,USDAHYD ENGR RSCH UNIT - ARS 9 - MODEL C,1941,-pending-,-pending-
,,USDAHYD ENGR RSCH UNIT - ARS 10 - RECIRC. MODEL,,,
0830J,,,1941,-pending-,-pending-
,,BLDG,,,
about:blank,,,,,13-Dec
"4/18/25, 12:06 PM",,about:blank,,,
0830K,,USDAHYD ENGR RSCH UNIT - ARS 11 - PUMP HOUSE,1941,-pending-,-pending-
0830L,,USDAHYD ENGR RSCH UNIT - ARS 12 - OIL BLDG,2011,-pending-,-pending-
0830M,,USDAHYD ENGR RSCH UNIT - ARS 25 - OFFICE BLDG,2009,-pending-,-pending-
0830N,,USDAHYD ENGR RSCH UNIT - SHELTER 1,2009,-pending-,-pending-
0830P,,USDAHYD ENGR RSCH UNIT - SHELTER 2,2009,-pending-,-pending-
0830Q,,USDAHYD ENGR RSCH UNIT - RCC STORAGE SHELTER,2009,-pending-,-pending-
835,,UNIVERSITY HANGARAT AIRPORT,1987,5700,5700
836,,OSUAVIATION CENTER,1996,17536,17536
0836A,,OSUAVIATION CENTER OFFICE,2021,-pending-,-pending-
838,,AEROSPACE SYSTEMS DISCOVERY LAB,2019,-pending-,-pending-
839,,RAY AND LINDA BOOKER OSU FLIGHT CENTER,2020,12050.08,11152.77
840,,OSU RICHMOND HILL RESEARCH COMPLEX,1996,38562.96,36120.72
,,VENTURE ONE - OKLAHOMA TECHNOLOGY RESEARCH,,,
850,VONE,,2011,36707.08,34145.94
,,PARK,,,
851,,MICHAEL S. MORGAN BUSINESS ACCELERATOR,2009,26031.93,23782.23
875,,OKLAHOMASTATE UNIVERSITY POSTAL PLAZA,2010,39413.46,29117.38
876,PAC,PRAIRIE ARTS CENTER,2017,-pending-,-pending-
900,,UNMANNEDAIRCRAFT FLIGHT STATION CONTROL,2014,1200,-pending-
901,,UNMANNEDAIRCRAFT FLIGHT STATION HANGAR,2014,1200,-pending-
902,,UNMANNEDAIRCRAFT FLIGHT STATION RAMADA,2014,1500,-pending-
920,,OSU DISCOVERY,2020,170484.42,114579.28
921,,OSU DISCOVERY - PARKING GARAGE,2020,116486.33,113005.3
950,,KOSU BROADCAST STUDIO - OKLAHOMA CITY,2013,3454,3846
951,,KOSU TRANSMITTER FACILITY - GUTHRIE,2004,288,255
952,,KOSN TRANSMITTER FACILITY - NOWATA,2014,160,160
953,,KOSR TRANSMITTER EQUIPMENT - STILLWATER,2012,-pending-,-pending-
954,,KOSU BIXBY TRANSLATOR EQUIPMENT- TULSA,1990,-pending-,-pending-
955,,KOSU TRANSMITTER EQUIPMENT - PONCA CITY,1990,-pending-,-pending-
1002,,NATIONAL WRESTLING HALL OF FAME,1993,-pending-,-pending-
1010,,SMALL JOBS CONTRACTOR OFFICE,2013,-pending-,-pending-
1011,,CELLULAR ONE WIRELESS EQUIPMENT,1990,206,-pending-
1012,,AT&T WIRELESS EQUIPMENT,2004,-pending-,-pending-
1030,,OSU EXTENSION CENTER,2024,-pending-,-pending-
1701,,CASAMIA APARTMENTS - NORTH,2024,-pending-,-pending-
1702,,CASAMIA APARTMENTS - SOUTH,2024,-pending-,-pending-
,,,Totals,13880882.6,12260794.48
about:blank,,,,,13/13
