Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
,,NORTH INTRAMURAL SOCCER FIELDS RESTROOMSAND,,,
315,,,2017,1617.78,1460.66
,,SHELTER,,,
0315A,,NORTH INTRAMURAL SOCCER FIELDS STORAGE,2017,1738,1545.39
320,,COHN FAMILY SMALL ANIMAL SHELTER,1999,9477.42,9050.89
0320A,,CANINE LONG-TERM HOUSINGANNEX,2014,1332.5,1064
0320B,,MULTI SPECIES RESEARCH FACILITY,2016,16189.92,15008.29
322,,HAZARDOUS MATERIAL LABORATORY,2005,-pending-,-pending-
0322A,,HAZARDOUS MATERIAL LABORATORY SHELTER,2005,-pending-,-pending-
,,HAZARDOUS MATERIAL LABORATORY TRAILER,,,
323,,,2005,-pending-,-pending-
,,STORAGE,,,
0324A,,LOAD CALCULATIONAND TESTING - MASSIVE,2016,-pending-,-pending-
0324B,,LOAD CALCULATIONAND TESTING - LIGHTWEIGHT,2016,-pending-,-pending-
0324C,,HYBRID GROUND SOURCE HEAT PUMP LABORATORY,2016,-pending-,-pending-
0324D,,CEAT RESEARCH STORAGE BUILDING 1,2016,-pending-,-pending-
0324E,,CEAT RESEARCH - MATERIALS STORAGE,2016,-pending-,-pending-
0324G,,SMART BRIDGE MECHANICAL,2016,-pending-,-pending-
325,,STORAGEWAREHOUSE - WESTERN ROAD,2008,20094.3,19696.85
504,,CAREERTECH NORTH & WEST - 601 S. WALNUT STREET,1938,20056,15039
505,,CAREER TECH PERKY - 1500 W. SEVENTHAVENUE,1970,22561,16142
506,,CAREERTECH CENTRAL,1970,33538,28080
,,CAREERTECH CURRICULUM CENTER - 701 S.WALNUT,,,
510,,,1956,4306,4306
,,STREET,,,
511,,CAREERTECH TESTING - 709 S. WALNUT STREET,1980,2403,2403
600,,PESTICIDE STORAGE -AGRONOMY FARM,1948,1431.71,1340.62
601,,RESIDENCE -AGRONOMY FARM,1938,2035,1492
,,DRYINGAND WEIGHING LABORATORY -AGRONOMY,,,
602,,,1935,3240.88,2976.26
,,FARM,,,
603,,STORAGE SHED -AGRONOMY FARM,1995,2605.34,2547.14
604,,WEEDS LABORATORY -AGRONOMY FARM,1965,3052.82,2902.17
605,,WEEDS LABORATORY GREENHOUSE -AGRONOMY FARM,1965,3483,3392
606,,CHEMICAL STORAGE -AGRONOMY FARM,2000,351.84,335.82
607,,CITY OF STILLWATER FIRE STATION NO. 2,Unknown,-pending-,-pending-
609,,BARN B -AGRONOMY FARM,1935,3298,3001
610,,BARNA -AGRONOMY FARM,1935,9504,8756
611,,AGRONOMYLABORATORY -AGRONOMY FARM,1975,2184,2030
